Timestamp,Raw Direction,Direction Text
2024-04-20 18:40:31,60,NE
2024-04-20 18:40:31,60,NE
2024-04-20 18:40:30,64,NE
2024-04-20 18:40:30,64,NE
2024-04-20 18:40:29,320,NW
2024-04-20 18:40:29,320,NW
2024-04-20 18:40:28,93,E
2024-04-20 18:40:28,93,E
2024-04-20 18:40:27,182,S
2024-04-20 18:40:27,182,S
2024-04-20 18:40:26,125,SE
2024-04-20 18:40:26,125,SE
2024-04-20 18:40:25,287,W
2024-04-20 18:40:25,287,W
2024-04-20 18:40:24,190,S
2024-04-20 18:40:24,190,S
2024-04-20 18:40:23,71,E
2024-04-20 18:40:23,71,E
2024-04-20 18:40:22,277,W
2024-04-20 18:40:22,277,W
2024-04-20 18:40:21,68,E
2024-04-20 18:40:21,68,E
2024-04-20 18:40:20,119,SE
2024-04-20 18:40:20,119,SE
2024-04-20 18:40:19,180,S
2024-04-20 18:40:19,180,S
2024-04-20 18:40:18,94,E
2024-04-20 18:40:18,94,E
2024-04-20 18:40:17,127,SE
2024-04-20 18:40:17,127,SE
2024-04-20 18:40:16,340,N
2024-04-20 18:40:16,340,N
2024-04-20 18:40:15,332,NW
2024-04-20 18:40:15,332,NW
2024-04-20 18:40:14,59,NE
2024-04-20 18:40:14,59,NE
2024-04-20 18:40:13,48,NE
2024-04-20 18:40:13,48,NE
2024-04-20 18:40:12,134,SE
2024-04-20 18:40:12,134,SE
2024-04-20 18:40:11,286,W
2024-04-20 18:40:11,286,W
2024-04-20 18:40:10,171,S
2024-04-20 18:40:10,171,S
2024-04-20 18:40:09,216,SW
2024-04-20 18:40:09,216,SW
2024-04-20 18:40:08,312,NW
2024-04-20 18:40:08,312,NW
2024-04-20 18:40:07,104,E
2024-04-20 18:40:07,104,E
2024-04-20 18:40:06,86,E
2024-04-20 18:40:06,86,E
2024-04-20 18:40:05,239,SW
2024-04-20 18:40:05,239,SW
2024-04-20 18:40:04,0,N
2024-04-20 18:40:04,0,N
2024-04-20 18:40:03,359,N
2024-04-20 18:40:03,359,N
2024-04-20 18:40:02,287,W
2024-04-20 18:40:02,287,W
2024-04-20 18:40:01,296,NW
2024-04-20 18:40:01,296,NW
2024-04-20 18:40:00,15,N
2024-04-20 18:40:00,15,N
2024-04-20 18:39:59,176,S
2024-04-20 18:39:59,176,S
2024-04-20 18:39:58,105,E
2024-04-20 18:39:58,105,E
2024-04-20 18:39:57,163,S
2024-04-20 18:39:57,163,S
2024-04-20 18:39:56,306,NW
2024-04-20 18:39:56,306,NW
2024-04-20 18:39:55,336,NW
2024-04-20 18:39:55,336,NW
2024-04-20 18:39:54,217,SW
2024-04-20 18:39:54,217,SW
2024-04-20 18:39:53,1,N
2024-04-20 18:39:53,1,N
2024-04-20 18:39:52,12,N
2024-04-20 18:39:52,12,N
2024-04-20 18:39:51,8,N
2024-04-20 18:39:51,8,N
2024-04-20 18:39:50,20,N
2024-04-20 18:39:50,20,N
2024-04-20 18:39:49,342,N
2024-04-20 18:39:49,342,N
2024-04-20 18:39:48,24,NE
2024-04-20 18:39:48,24,NE
2024-04-20 18:39:47,247,SW
2024-04-20 18:39:47,247,SW
2024-04-20 18:39:46,276,W
2024-04-20 18:39:46,276,W
2024-04-20 18:39:45,67,NE
2024-04-20 18:39:45,67,NE
2024-04-20 18:39:44,286,W
2024-04-20 18:39:44,286,W
2024-04-20 18:39:43,43,NE
2024-04-20 18:39:43,43,NE
2024-04-20 18:39:42,225,SW
2024-04-20 18:39:42,225,SW
2024-04-20 18:39:41,249,W
2024-04-20 18:39:41,249,W
2024-04-20 18:39:40,48,NE
2024-04-20 18:39:40,48,NE
2024-04-20 18:39:39,10,N
2024-04-20 18:39:39,10,N
2024-04-20 18:39:38,261,W
2024-04-20 18:39:38,261,W
2024-04-20 18:39:37,282,W
2024-04-20 18:39:37,282,W
2024-04-20 18:39:36,241,SW
2024-04-20 18:39:36,241,SW
2024-04-20 18:39:35,194,S
2024-04-20 18:39:35,194,S
2024-04-20 18:39:34,301,NW
2024-04-20 18:39:34,301,NW
2024-04-20 18:39:33,263,W
2024-04-20 18:39:33,263,W
2024-04-20 18:39:32,14,N
2024-04-20 18:39:32,14,N
2024-04-20 18:39:31,28,NE
2024-04-20 18:39:31,28,NE
2024-04-20 18:39:30,18,N
2024-04-20 18:39:30,18,N
2024-04-20 18:39:29,157,SE
2024-04-20 18:39:29,157,SE
2024-04-20 18:39:28,281,W
2024-04-20 18:39:28,281,W
2024-04-20 18:39:27,160,S
2024-04-20 18:39:27,160,S
2024-04-20 18:39:26,16,N
2024-04-20 18:39:26,16,N
2024-04-20 18:39:25,116,SE
2024-04-20 18:39:25,116,SE
2024-04-20 18:39:24,109,E
2024-04-20 18:39:24,109,E
2024-04-20 18:39:23,49,NE
2024-04-20 18:39:23,49,NE
2024-04-20 18:39:22,194,S
2024-04-20 18:39:22,194,S
2024-04-20 18:39:21,204,SW
2024-04-20 18:39:21,204,SW
2024-04-20 18:39:20,8,N
2024-04-20 18:39:20,8,N
2024-04-20 18:39:19,13,N
2024-04-20 18:39:19,13,N
2024-04-20 18:39:18,90,E
2024-04-20 18:39:18,90,E
2024-04-20 18:39:17,298,NW
2024-04-20 18:39:17,298,NW
2024-04-20 18:39:16,129,SE
2024-04-20 18:39:16,129,SE
2024-04-20 18:39:15,266,W
2024-04-20 18:39:15,266,W
2024-04-20 18:39:14,161,S
2024-04-20 18:39:14,161,S
2024-04-20 18:39:13,350,N
2024-04-20 18:39:13,350,N
2024-04-20 18:39:12,25,NE
2024-04-20 18:39:12,25,NE
